original_path	restored_path
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/jpeg_encoder.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_jpeg_encoder_00/jpeg_encoder.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/dsp_vector.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_jpeg_encoder_00/u_dsp_vector_01/dsp_vector.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01/u_ecc_engine_00_jpeg_encoder_00_dsp_vector_01_video_codec_00/video_codec.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_jpeg_encoder_00/u_dsp_vector_01/u_video_codec_00/video_codec.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_jpeg_encoder_00/u_ecc_engine_00_jpeg_encoder_00_isp_pipeline_00/isp_pipeline.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_jpeg_encoder_00/u_isp_pipeline_00/isp_pipeline.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/thermal_sensor.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/thermal_sensor.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/u_ecc_engine_00_thermal_sensor_01_pll_00/pll.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/u_pll_00/pll.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/u_ecc_engine_00_thermal_sensor_01_pll_00/u_ecc_engine_00_thermal_sensor_01_pll_00_ecc_engine_02/ecc_engine.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/u_pll_00/u_ecc_engine_02/ecc_engine.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/u_ecc_engine_00_thermal_sensor_01_pll_00/u_ecc_engine_00_thermal_sensor_01_pll_00_pwm_controller_01/pwm_controller.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/u_pll_00/u_pwm_controller_01/pwm_controller.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/u_ecc_engine_00_thermal_sensor_01_pll_00/u_ecc_engine_00_thermal_sensor_01_pll_00_rtc_00/rtc.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/u_pll_00/u_rtc_00/rtc.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/u_ecc_engine_00_thermal_sensor_01_pmu_02/pmu.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/u_pmu_02/pmu.v
/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_ecc_engine_00_thermal_sensor_01/u_ecc_engine_00_thermal_sensor_01_pmu_02/u_ecc_engine_00_thermal_sensor_01_pmu_02_neoverse_n1_01/neoverse_n1.v	/home/user/tools/CodeFromAI/hc_hierarchy/design/synthetic_deep_rtl/rtl/soc_top/u_ecc_engine_00/u_thermal_sensor_01/u_pmu_02/u_neoverse_n1_01/neoverse_n1.v
